CountryName,CountryCode,Region,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,Population,GDPOf2019,GDPPerCapita2019,RankOf2021
Denmark,DNK,Europe,7.77,7.8,7.38,6.93,6.28,5.99,5.83,5.13,5.02,5.64,4.8,"5,818,553",3.48E+11,59822.09,126
Djibouti,DJI,Africa,26.89,26.78,26.64,26.48,26.33,26.19,26.06,26.19,26.36,28.39,28.39,"973,560",3318716359,3408.85,2
Dominican Republic,DOM,Caribbean,6.09,6.72,7.35,6.72,7.61,7.28,5.83,5.86,6.36,6.13,8.5,"10,738,958",88941298258,8282.12,66
Ecuador,ECU,South America,3.46,3.23,3.08,3.48,3.62,4.6,3.84,3.53,3.81,6.11,6.43,"17,373,662",1.07E+11,6183.82,91
Egypt,EGY,Africa,11.85,12.6,13.15,13.1,13.05,12.41,11.74,9.82,7.84,9.17,9.33,"100,388,073",3.03E+11,3020.03,55
El Salvador,SLV,Central America,4.3,3.84,3.69,4.15,4,4.42,4.39,4.01,4.17,6.25,5.94,"6,453,553",27022640000,4187.25,101
Equatorial Guinea,GNQ,Africa,8.73,8.61,8.51,8.48,8.54,8.63,8.65,8.62,8.68,9.9,9.24,"1,355,986",11026774945,8131.92,56
Eritrea,ERI,Africa,5.52,5.53,5.58,5.67,5.83,5.9,5.94,5.95,5.99,7.86,8.05,"6,333,135",2065001626,326.06,70
Estonia,EST,Europe,12.33,10.02,8.63,7.35,6.19,6.76,5.76,5.37,4.45,6.8,6.33,"1,331,824",31386949981,23566.89,95
Eswatini,SWZ,Africa,25.81,25.15,24.55,23.97,23.33,22.72,22.75,22.79,22.84,25.51,25.76,"1,093,238",3791304348,3467.96,3
Ethiopia,ETH,Africa,2.31,2.29,2.25,2.26,2.27,2.29,2.3,2.32,2.33,3.24,3.69,"112,078,730",96107662398,857.5,149
Fiji,FJI,Oceania,4.41,4.42,4.33,4.29,4.3,4.32,4.28,4.33,4.45,4.72,5.24,"889,953",5535548972,6220.05,111
