CountryName,CountryCode,Region,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,Population,GDPOf2019,GDPPerCapita2019,RankOf2021
Uzbekistan,UZB,Asia,5,4.9,4.9,5.1,5.2,5.2,5.8,5.84,5.85,7.04,7.16,"33,580,650",57921286440,1724.84,81
Vanuatu,VUT,Oceania,1.81,1.85,1.86,1.81,1.86,1.78,1.75,1.81,1.8,2.12,2.18,"299,882",917058851,3058.07,169
Venezuela,VEN,South America,6.9,6.6,7.54,6.86,6.08,5.32,5.05,5.02,5.1,6.63,6.41,"28,515,829",4.82E+11,16915.49,93
Vietnam,VNM,Asia,1,1.03,1.32,1.26,1.85,1.85,1.87,1.16,2.04,2.39,2.17,"96,462,106",2.62E+11,2715.28,170
Yemen,YEM,Asia,13.23,13.17,13.27,13.47,13.77,13.43,13.3,13.15,13.06,13.39,13.57,"29,161,922",26914402224,922.93,33
Zambia,ZMB,Africa,10.55,7.85,8.61,9.36,10.13,10.87,11.63,12.01,12.52,12.85,13.03,"17,861,030",23064722446,1291.34,37
Zimbabwe,ZWE,Africa,5.37,5.15,4.98,4.77,4.78,4.79,4.78,4.8,4.83,5.35,5.17,"14,645,468",21440758800,1463.99,114
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,max,2019,,,,,
,,,,,,,,,,,min,0.1,,,,,
,,,,,,,,,,,Range Of 2019,2018.9,,,,,
